genome_id,resistant_phenotype
"1733.4830","Susceptible"
"1773.39900","Resistant"
"1773.34249","Susceptible"
"1733.503","Susceptible"
"1773.1706","Susceptible"
"1733.4884","Susceptible"
"1773.1210","Susceptible"
"1733.2100","Susceptible"
"1773.15533","Susceptible"
"1773.15788","Susceptible"
"1773.40307","Susceptible"
"1733.2180","Resistant"
"1773.4782","Susceptible"
"1422058.3","Resistant"
"1494075.165","Susceptible"
"1773.15488","Susceptible"
"1773.37437","Resistant"
"1733.8097","Susceptible"
"1773.32820","Susceptible"
"1773.34700","Susceptible"
"1733.9201","Susceptible"
"1733.7285","Resistant"
"1773.1456","Resistant"
"1773.5739","Susceptible"
"1773.18460","Resistant"
"1773.19797","Susceptible"
"1733.1063","Susceptible"
"1773.298","Resistant"
"1773.37056","Resistant"
"652616.4","Susceptible"
"1773.5133","Susceptible"
"1733.972","Susceptible"
"1773.17419","Resistant"
"1733.9131","Resistant"
"1773.28969","Susceptible"
"1773.5343","Susceptible"
"1733.7141","Susceptible"
"1773.21594","Resistant"
"1773.37275","Resistant"
"1773.35069","Susceptible"
"1733.2012","Susceptible"
"1773.20848","Susceptible"
"1773.28178","Susceptible"
"1733.3915","Susceptible"
"1773.39099","Susceptible"
"1733.10231","Susceptible"
"1773.19183","Susceptible"
"1773.33757","Susceptible"
"1773.14465","Susceptible"
"1773.26895","Resistant"
"1773.32958","Resistant"
"1733.11169","Susceptible"
"1448748.3","Susceptible"
"1773.16101","Susceptible"
"1733.7569","Susceptible"
"1773.13332","Susceptible"
"1733.6085","Susceptible"
"1733.3511","Susceptible"
"1773.20429","Susceptible"
"1324269.3","Resistant"
"1773.29478","Resistant"
"1773.4114","Susceptible"
"1773.5101","Susceptible"
"1773.15441","Susceptible"
"1733.5515","Resistant"
"1733.1438","Resistant"
"1773.27217","Susceptible"
"1773.41317","Resistant"
"1773.42127","Susceptible"
"1773.14944","Susceptible"
"1427286.3","Susceptible"
"1773.39946","Susceptible"
"1773.3965","Resistant"
"1773.4254","Susceptible"
"1773.19247","Susceptible"
"1773.41169","Susceptible"
"1733.966","Susceptible"
"1773.17606","Susceptible"
"1773.43688","Susceptible"
"2583589.8","Susceptible"
"1733.1168","Susceptible"
"1773.35306","Susceptible"
"1733.5203","Susceptible"
"1773.41963","Resistant"
"1773.10760","Resistant"
"1773.3439","Susceptible"
"1773.10733","Resistant"
"1773.39901","Susceptible"
"1773.41242","Susceptible"
"1773.19641","Susceptible"
"1733.3271","Susceptible"
"1324294.3","Susceptible"
"1773.36093","Resistant"
"1773.19542","Susceptible"
"1733.8988","Resistant"
"1773.33652","Susceptible"
"1773.41306","Resistant"
"1773.36341","Susceptible"
"1773.21552","Resistant"
"1773.35638","Susceptible"
"1733.9920","Resistant"
"1773.21519","Resistant"
"1773.29346","Resistant"
"1773.36894","Susceptible"
"1773.40639","Susceptible"
"1733.5995","Susceptible"
"1773.33293","Resistant"
"1733.397","Susceptible"
"1773.39576","Susceptible"
"1773.10808","Resistant"
"1733.8987","Resistant"
"1733.10790","Susceptible"
"1733.10269","Susceptible"
"1733.1316","Resistant"
"1773.21554","Resistant"
"1354114.3","Resistant"
"1733.6843","Resistant"
"1773.40368","Susceptible"
"1773.4710","Susceptible"
"1421980.3","Resistant"
"1773.42166","Susceptible"
"1773.27907","Susceptible"
"1773.17343","Susceptible"
"1773.15975","Susceptible"
"1733.8785","Resistant"
"1733.2414","Susceptible"
"1773.33021","Resistant"
"1773.5724","Susceptible"
"1733.5146","Susceptible"
"1773.35369","Susceptible"
"1733.8594","Resistant"
"1773.23625","Resistant"
"1773.38218","Resistant"
"1773.20552","Susceptible"
"1733.7815","Resistant"
"1733.1913","Susceptible"
"1773.2952","Resistant"
"1773.18790","Susceptible"
"1733.1088","Susceptible"
"1773.36527","Susceptible"
"1773.8254","Susceptible"
"1773.15664","Susceptible"
"1773.28328","Susceptible"
"1334077.3","Susceptible"
"1773.42296","Susceptible"
"1773.41995","Resistant"
"1773.4126","Susceptible"
"1733.10684","Susceptible"
"1733.6570","Susceptible"
"1733.9995","Susceptible"
"1773.21571","Susceptible"
"1773.32219","Resistant"
"1733.10825","Susceptible"
"1733.4042","Susceptible"
"1773.15597","Susceptible"
"1733.5673","Susceptible"
"1733.10465","Susceptible"
"1733.2582","Resistant"
"1733.8584","Resistant"
"1773.34741","Susceptible"
"1733.5702","Susceptible"
"1733.8470","Resistant"
"1773.35657","Susceptible"
"1773.41752","Resistant"
"1773.29877","Resistant"
"1773.18264","Resistant"
"1773.28374","Susceptible"
"1773.18224","Resistant"
"1773.18569","Resistant"
"1773.35561","Susceptible"
"1733.6708","Resistant"
"1733.1254","Resistant"
"1773.36111","Susceptible"
"1773.15478","Susceptible"
"1408946.4","Susceptible"
"1733.6618","Resistant"
"1773.17341","Susceptible"
"1773.28407","Susceptible"
"1773.34114","Susceptible"
"1773.42281","Susceptible"
"1773.21395","Susceptible"
"1773.40178","Susceptible"
"1733.7644","Resistant"
"1773.14001","Susceptible"
"1773.34595","Resistant"
"1773.8052",
"1773.14406","Susceptible"
"1733.2246","Resistant"
"1733.1255","Resistant"
"1733.7026","Susceptible"
"1773.1598","Susceptible"
"1733.6286","Susceptible"
"1448395.3","Resistant"
"1773.21399","Susceptible"
"1773.8156","Susceptible"
"1773.43437","Susceptible"
"1733.6512","Susceptible"
"1773.5060","Susceptible"
"1733.6116","Susceptible"
"1448586.3","Resistant"
"1733.4812","Susceptible"
"1733.1340","Susceptible"
"1773.40170","Susceptible"
"1773.40993","Susceptible"
"1773.14875","Susceptible"
"1773.26930","Resistant"
"1773.15204","Susceptible"
"1733.4249","Susceptible"
"1733.6959","Resistant"
"1733.4169","Susceptible"
"1733.7423","Resistant"
"1733.5556","Susceptible"
"1773.41678","Susceptible"
"1733.1934","Susceptible"
"1773.1011","Resistant"
"1408922.4",
"1733.634","Resistant"
"1733.4537","Susceptible"
"1733.4291","Susceptible"
"1733.2616","Resistant"
"1773.33102","Susceptible"
"1773.27937","Resistant"
"1773.18405","Resistant"
"1733.8592","Resistant"
"1733.3068","Resistant"
"1773.27713","Susceptible"
"1773.4231","Resistant"
"1733.9642","Resistant"
"1773.10775","Resistant"
"1773.32818","Resistant"
"1733.10554","Susceptible"
"1773.23603","Susceptible"
"1733.323","Susceptible"
"1773.5132","Susceptible"
"1773.1552","Susceptible"
"1773.40337","Resistant"
"1773.32565","Resistant"
"1733.1369","Resistant"
"1773.1469","Resistant"
"1773.43775","Susceptible"
"1733.5476","Susceptible"
"1773.15784","Resistant"
